id,age,gender,skinColor,accessories,nailPolish,aspectOfHand,imageName,irregularities
0000000,27,male,fair,1,0,palmar left,Hand_0000038.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000039.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000040.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000041.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000042.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000043.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000044.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000045.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000046.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000047.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000048.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000049.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000050.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000051.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000052.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000053.jpg,0
0000000,27,male,fair,1,0,palmar left,Hand_0000054.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000055.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000056.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000057.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000058.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000059.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000060.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000061.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000062.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000063.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000064.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000065.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000066.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000067.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000068.jpg,0
0000000,27,male,fair,0,0,palmar left,Hand_0000069.jpg,0
0000559,20,female,dark,0,0,palmar right,Hand_0000085.jpg,0
0000559,20,female,dark,0,0,palmar right,Hand_0000086.jpg,0
0000559,20,female,dark,0,0,palmar right,Hand_0000087.jpg,0
0000559,20,female,dark,0,0,palmar right,Hand_0000088.jpg,0
0000559,20,female,dark,0,0,palmar right,Hand_0000089.jpg,0
0000559,20,female,dark,0,0,palmar right,Hand_0000090.jpg,0
